S. No.,GADE(Generalized Anxiety disorder),Percentage(RESULT),SWL(Satisfaction of work life),Game,Platform,Hours,earnings,whyplay,Gender,Age,Work,Degree,Birthplace,Residence
10517,Not difficult at all,1-25%,6,League of Legends,PC,21,I play for fun,having fun,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Austria,Austria
10520,Not difficult at all,1-25%,6,League of Legends,PC,50,I play for fun,improving,Male,18,Student at college / university,High school diploma (or equivalent),UK,UK
10521,Not difficult at all,1-25%,3,League of Legends,PC,5,I play for fun,having fun,Male,24,Employed,High school diploma (or equivalent),USA,USA
10522,Not difficult at all,1-25%,6,League of Legends,PC,10,I play for fun,having fun,Male,18,Student at school,None,Germany,Germany
10524,Not difficult at all,1-25%,1,League of Legends,PC,3,I play for fun,being satisfied with my skill,Male,18,Student at school,None,Germany,Germany
10525,Somewhat difficult,26-50%,3,League of Legends,PC,20,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Brazil,Brazil
10526,Somewhat difficult,26-50%,4,League of Legends,PC,65,I play for fun,improving,Male,18,Student at school,None,Austria,Austria
10527,Not difficult at all,1-25%,2,League of Legends,PC,15,I play for fun,having fun,Male,22,Student at college / university,Bachelor (or equivalent),Albania,Bulgaria
10529,Not difficult at all,1-25%,1,League of Legends,PC,20,I play for fun,having fun,Male,21,Student at college / university,Bachelor (or equivalent),USA,USA
10530,Not difficult at all,1-25%,1,League of Legends,PC,52,I play for fun,having fun,Male,18,Unemployed / between jobs,None,USA,Taiwan
10531,Somewhat difficult,26-50%,3,League of Legends,PC,10,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
10532,Not difficult at all,1-25%,4,League of Legends,PC,20,I play for fun,improving,Male,18,Student at school,None,USA,USA
10533,Somewhat difficult,26-50%,3,League of Legends,PC,35,I play for fun,improving,Male,20,Student at college / university,Bachelor (or equivalent),Denmark,Denmark
10534,Very difficult,51-75%,1,League of Legends,PC,40,I play for fun,relaxing,Male,23,Student at college / university,High school diploma (or equivalent),USA,USA
10535,Not difficult at all,1-25%,4,League of Legends,PC,17,I play for fun,having fun,Male,21,Student at college / university,High school diploma (or equivalent),Greece,Greece
10536,Very difficult,51-75%,1,Counter Strike,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,18,Student at school,High school diploma (or equivalent),USA,USA
10538,Extremely difficult,76-100%,1,League of Legends,PC,8,I play for fun,winning,Female,23,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
10539,Somewhat difficult,26-50%,7,League of Legends,PC,10,I play for fun,improving,Male,29,Employed,High school diploma (or equivalent),USA,USA
10541,Somewhat difficult,26-50%,4,League of Legends,PC,13,I play for fun,having fun,Male,22,Student at college / university,Bachelor (or equivalent),Germany,Germany
10542,Not difficult at all,1-25%,1,League of Legends,PC,3,I play for fun,having fun,Male,28,Student at college / university,High school diploma (or equivalent),Romania,Romania
10543,Not difficult at all,1-25%,7,League of Legends,PC,20,I play for fun,improving,Male,24,Employed,None,Hungary,Hungary
10544,Somewhat difficult,26-50%,3,League of Legends,PC,12,I play for fun,having fun,Male,21,Student at college / university,Bachelor (or equivalent),Spain,Spain
10545,NA,0,4,League of Legends,PC,20,I play for fun,having fun,Male,21,Student at college / university,Bachelor (or equivalent),Australia,Australia
10546,Not difficult at all,1-25%,1,League of Legends,PC,20,I play for fun,improving,Male,18,Student at school,High school diploma (or equivalent),Bulgaria,Bulgaria
10547,Not difficult at all,1-25%,2,League of Legends,PC,17,I play for fun,improving,Male,26,Student at college / university,High school diploma (or equivalent),USA,USA
10548,Not difficult at all,1-25%,3,League of Legends,PC,10,I play for fun,having fun,Male,19,Unemployed / between jobs,None,Sweden,Sweden
10549,Not difficult at all,1-25%,2,League of Legends,PC,36,I play for fun,improving,Male,23,NA,Bachelor (or equivalent),Germany,Germany
10551,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
10552,Not difficult at all,1-25%,2,League of Legends,PC,20,I play for fun,having fun,Male,19,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
10554,Somewhat difficult,26-50%,6,League of Legends,PC,12,I play for fun,having fun,Male,21,Student at school,High school diploma (or equivalent),USA,USA
10555,Not difficult at all,1-25%,2,League of Legends,PC,15,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),USA,USA
10556,Somewhat difficult,26-50%,5,Other,PC,30,I play for fun,having fun,Male,22,Student at college / university,High school diploma (or equivalent),Greece,Greece
10557,Somewhat difficult,26-50%,2,League of Legends,PC,26,I play for fun,improving,Male,19,Student at college / university,High school diploma (or equivalent),Portugal,Portugal
10558,Not difficult at all,1-25%,1,League of Legends,PC,22,I play for fun,having fun,Male,22,Student at college / university,Bachelor (or equivalent),Belgium,Belgium
10559,Not difficult at all,1-25%,1,League of Legends,PC,21,I play for fun,winning,Male,21,Student at college / university,High school diploma (or equivalent),Poland,UK
10560,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,improving,Female,22,Unemployed / between jobs,High school diploma (or equivalent),Australia,Australia
10561,Somewhat difficult,26-50%,2,League of Legends,PC,18,Trying to get to pro-level of play,improving,Male,18,Student at school,None,Finland,Finland
10562,Somewhat difficult,26-50%,1,Starcraft 2,PC,12,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",relaxing,Male,18,Student at school,None,Portugal,Portugal
10564,Not difficult at all,1-25%,3,League of Legends,PC,10,I play for fun,having fun,Male,19,Student at college / university,None,UK,UK
10565,Not difficult at all,1-25%,7,League of Legends,PC,48,I play for fun,improving,Male,21,Employed,Bachelor (or equivalent),USA,USA
10566,Not difficult at all,1-25%,6,League of Legends,PC,20,I play for fun,having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
10567,Not difficult at all,1-25%,4,League of Legends,PC,16,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,19,Student at college / university,High school diploma (or equivalent),Germany,Germany
10568,Not difficult at all,1-25%,1,League of Legends,PC,30,I play for fun,improving,Male,27,Unemployed / between jobs,High school diploma (or equivalent),Canada,Canada
10569,Not difficult at all,1-25%,4,League of Legends,PC,NA,I play for fun,having fun,Male,18,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
10570,Not difficult at all,1-25%,3,League of Legends,PC,10,I play for fun,improving,Male,20,Unemployed / between jobs,High school diploma (or equivalent),Canada,Canada
10571,NA,0,2,League of Legends,PC,20,I play for fun,winning,Male,37,Employed,Master (or equivalent),Portugal,Portugal
10572,Very difficult,51-75%,4,League of Legends,PC,7,I play for fun,having fun,Male,23,Employed,Bachelor (or equivalent),Hungary,Hungary
10573,Not difficult at all,1-25%,4,League of Legends,PC,15,I play for fun,having fun,Male,23,Employed,High school diploma (or equivalent),USA,USA
10574,Not difficult at all,1-25%,4,League of Legends,PC,8,I play for fun,having fun,Male,18,Student at college / university,Bachelor (or equivalent),USA,USA
10575,Not difficult at all,1-25%,2,Other,PC,6,I play for fun,improving,Male,26,Student at college / university,Bachelor (or equivalent),Germany,Germany
10576,Somewhat difficult,26-50%,3,League of Legends,PC,30,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",winning,Male,18,Student at college / university,High school diploma (or equivalent),Denmark,Denmark
10577,Not difficult at all,1-25%,7,Other,"Console (PS, Xbox, ...)",20,I play for fun,having fun,Male,18,Employed,High school diploma (or equivalent),Canada,Canada
10578,Somewhat difficult,26-50%,1,League of Legends,PC,10,boosted a pal for gold rewards and he gave me $10 paypal once ,improving,Male,19,Employed,High school diploma (or equivalent),USA,USA
10579,Not difficult at all,1-25%,7,League of Legends,PC,16,I play for fun,improving,Male,18,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
10580,Somewhat difficult,26-50%,4,League of Legends,PC,25,I play for fun,winning,Male,22,Student at college / university,Bachelor (or equivalent),Slovakia,Slovakia
10581,Not difficult at all,1-25%,5,Other,PC,10,I play for fun,improving,Male,21,Student at college / university,High school diploma (or equivalent),USA,USA
10582,Somewhat difficult,26-50%,6,Other,PC,15,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Germany,Germany
10583,Not difficult at all,1-25%,1,Hearthstone,PC,5,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Canada,Canada
10584,Somewhat difficult,26-50%,3,Other,PC,14,I play for fun,having fun,Male,18,Student at school,None,Greece,Greece
10585,Not difficult at all,1-25%,4,League of Legends,PC,30,I play for fun,having fun,Male,18,Student at college / university,High school diploma (or equivalent),Sweden,Sweden
10586,NA,0,2,League of Legends,PC,40,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Brazil,Brazil
10587,Somewhat difficult,26-50%,7,League of Legends,PC,17,I play for fun,having fun,Male,19,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
10588,Somewhat difficult,26-50%,2,League of Legends,PC,25,I play for fun,improving,Male,23,Student at college / university,Bachelor (or equivalent),Netherlands,Belgium
10590,Somewhat difficult,26-50%,2,League of Legends,PC,20,I play for fun,having fun,Male,19,Student at college / university,High school diploma (or equivalent),Argentina,Argentina
10591,Somewhat difficult,26-50%,3,League of Legends,PC,5,I play for fun,having fun,Male,27,Employed,Bachelor (or equivalent),USA,USA
10592,Not difficult at all,1-25%,2,League of Legends,PC,8,I play for fun,having fun,Male,18,Student at school,High school diploma (or equivalent),Romania,Romania
10593,Somewhat difficult,26-50%,1,League of Legends,PC,20,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,USA
10594,Not difficult at all,1-25%,1,League of Legends,PC,20,play to hopefully be in the lcs,winning,Male,18,Student at school,High school diploma (or equivalent),USA,USA
10595,Not difficult at all,1-25%,7,League of Legends,PC,16,I play for fun,having fun,Male,19,Employed,High school diploma (or equivalent),Norway,Norway
10596,Not difficult at all,1-25%,5,League of Legends,PC,28,I play for fun,having fun,Male,19,Student at school,None,Poland,Poland
10597,Very difficult,51-75%,4,League of Legends,PC,40,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",improving,Male,18,Student at college / university,High school diploma (or equivalent),Australia,Australia
10598,Not difficult at all,1-25%,4,League of Legends,PC,20,I play for fun,improving,Male,20,Student at college / university,High school diploma (or equivalent),Netherlands,Netherlands
10599,Very difficult,51-75%,4,League of Legends,PC,40,I play for fun,improving,Male,18,Student at school,None,Canada,Canada
10600,Somewhat difficult,26-50%,5,League of Legends,PC,20,I play for fun,having fun,Male,25,Unemployed / between jobs,Bachelor (or equivalent),Sweden,Sweden
10602,Very difficult,51-75%,6,League of Legends,PC,40,"I play mostly for fun but earn a little on the side (tournament winnings, streaming, etc)",having fun,Male,18,Student at school,None,USA,Unknown
10603,Somewhat difficult,26-50%,2,League of Legends,PC,10,I play for fun,winning/improving/and having fun,Male,20,Student at college / university,High school diploma (or equivalent),USA,USA
10604,Not difficult at all,1-25%,4,League of Legends,PC,20,I play for fun,having fun,Male,21,Student at college / university,Bachelor (or equivalent),USA,USA
10605,Somewhat difficult,26-50%,5,League of Legends,PC,3,I play for fun,improving,Female,22,Student at college / university,High school diploma (or equivalent),Mexico,Mexico
10606,Not difficult at all,1-25%,6,Counter Strike,PC,40,I play for fun,improving,Male,20,Student at school,High school diploma (or equivalent),USA,USA
